Cuba Gooding Jr.;Pearl Harbor
Robin Williams;Aladdin
Sam Elliott;Hulk
Ronald Squire;Around the World in Eighty Days
Miiko Taka;Sayonara
Jack Gilford;Cocoon
Tom Cruise;Mission: Impossible - Ghost Protocol
Adrien Brody;King Kong
Ned Beatty;Toy Story 3
Julianne Moore;Hannibal
Katy Jurado;High Noon
Jurgen Prochnow;Beverly Hills Cop II
Mitchell Whitfield;My Cousin Vinny
Ray Anthony;Matrix Reloaded, The
Freddie Bartholomew;Captains Courageous
Topher Grace;Spider-Man 3
Peter Cushing;Star Wars
John Castle;The Lion in Winter
Michael Clarke Duncan;Planet of the Apes
Keira Knightley;Pirates of the Caribbean: At Worlds End
Jennie Linden;Women in Love
Robbie Coltrane;Harry Potter and the Sorcerers Stone
Jack Lemmon;Save the Tiger
Burt Lancaster;Rose Tattoo, The
Oscar Levant;American in Paris, An
Lionel Barrymore;Grand Hotel
Matt Damon;Saving Private Ryan
Michelle Pfeiffer;Batman Returns
Angelina Jolie;Kung Fu Panda
John Travolta;Grease
Rajendranath Zutshi;Slumdog Millionaire
Arnold Vosloo;The Mummy
Carrie Fisher;Star Wars: Episode VI - Return of the Jedi
Michael Saucedo;Traffic
Chris Sanders;Lilo & Stitch
Jacob Stringer;There Will Be Blood
Helen Hayes;Sin of Madelon Claudet, The
Lisa Eilbacher;Beverly Hills Cop
Harrison Ford;Indiana Jones and the Temple of Doom
Woody Allen;Annie Hall
Scarlett Johansson;Iron Man 2
Taylor Lautner;The Twilight Saga: Breaking Dawn - Part 1
Robert De Niro;Shark Tale
Rick Yune;Fast and the Furious, The
Larry The Cable Guy;Cars
Richard Lewis;Leaving Las Vegas
Gordon Jackson;Prime of Miss Jean Brodie, The
George Tobias;Sergeant York
Robert Patrick;Walk the Line
Alessandro Nivola;Jurassic Park III
Helena Bonham Carter;Howards End
Bill Paxton;Apollo 13
Donald Crisp;National Velvet
Paula Patton;Mission: Impossible - Ghost Protocol
Stuart Wilson;Lethal Weapon 3
Wilford Brimley;Tender Mercies
Morgan Freeman;Unforgiven
Michael Palin;Fish Called Wanda, A
Ben Affleck;Good Will Hunting
Donna Reed;From Here to Eternity
Leonard Nimoy;Star Trek
William Prince;Cyrano de Bergerac
Kevin Costner;Dances with Wolves
Brad Garrett;Finding Nemo
Glenn Close;Tarzan
Tom Cruise;Few Good Men, A
Wallace Ford;Patch of Blue, A
Jean Reno;The Da Vinci Code
Ossie Davis;Doctor Dolittle
Tilda Swinton;The Chronicles of Narnia: The Lion, the Witch and the Wardrobe
Henry Fonda;Mister Roberts
Rachel Weisz;The Constant Gardener
Laura San Giacomo;Pretty Woman
Laurence Hanray;Private Life of Henry VIII., The
Bryce Dallas Howard;The Twilight Saga: Eclipse
Cedric Hardwicke;Suspicion
Wesley Addy;Network
Bette Davis;Great Lie, The
Judith Anderson;Rebecca
Ethan Hawke;Training Day
Paul Newman;Hud
Lloyd Nolan;Tree Grows in Brooklyn, A
Danny Huston;The Constant Gardener
Helmut Bakaitis;Matrix Revolutions, The
John Goodman;The Artist
Elisabeth Shue;Leaving Las Vegas
Danny DeVito;Terms of Endearment
Alan Rickman;Harry Potter and the Deathly Hallows: Part 2
Freida Pinto;Slumdog Millionaire
Tommy Lee Jones;Men in Black 3
Melvyn Douglas;Hud
Helen Mirren;The Queen
Michael Douglas;Fatal Attraction
Paul Le Mat;Melvin and Howard
Henry Winkler;Waterboy, The
Shelley Winters;Double Life, A
Goldie Hawn;Cactus Flower
Sean Connery;Untouchables, The
Alex Jennings;The Queen
Jack Hawkins;Bridge on the River Kwai, The
Christian Bale;The Dark Knight Rises
Michael Caine;Hannah and Her Sisters
Mark Ruffalo;The Avengers
Abigail Breslin;Little Miss Sunshine
David Hasselhoff;Click
Richard Roxburgh;Mission: Impossible II
Randy Quaid;Brokeback Mountain
Tim Allen;Toy Story 3
Tyrese Gibson;Transformers
Haya Harareet;Ben-Hur
Ludacris;Fast Five
Barbara ONeil;Gone with the Wind
Ray Milland;Lost Weekend, The
Bryce Dallas Howard;The Help
Cecelia Ann Birt;Oceans Eleven
Chris Klein;American Pie 2
Linda Kozlowski;Crocodile Dundee
Hayden Christensen;Star Wars: Episode III - Revenge of the Sith
Tim Allen;Toy Story
Piper Laurie;Children of a Lesser God
George Burns;Sunshine Boys, The
Shelley Winters;Diary of Anne Frank, The
Richard Attenborough;Lost World: Jurassic Park, The
Betsy Palmer;Mister Roberts
James Stewart;Philadelphia Story, The
Mary Beth Hurt;Affliction
Michael Vavitch;Two Arabian Knights
Michael Kitchen;Out of Africa
Will Smith;Hancock
Javier Bardem;Vicky Cristina Barcelona
Brittany Murphy;Girl, Interrupted
Gabrielle Anwar;Scent of a Woman
Frances Lee McCain;Gremlins
Ray Liotta;Goodfellas
Angelina Jolie;Lara Croft: Tomb Raider
Tom Berenger;Platoon
Melvyn Douglas;Being There
Kirsten Dunst;Spider-Man 2
Skeet Ulrich;As Good As It Gets
Marsha Mason;Goodbye Girl, The
Tom Hanks;Toy Story 2
Gene Hackman;Superman
Richard Beymer;Diary of Anne Frank, The
Mel Gibson;Braveheart
Leonardo DiCaprio;The Departed
Chris Noth;Sex and the City
Joan Greenwood;Tom Jones
Maggie Smith;California Suite
Ed Helms;The Lorax
Nathan Lane;Stuart Little
Marie Dressler;Min and Bill
Helen Hunt;What Women Want
Ben Stiller;Night at the Museum: Battle of the Smithsonian
Lee J. Cobb;Exorcist, The
Jordi Molla;Bad Boys II
Paul Dano;Little Miss Sunshine
John Laurie;Hamlet
Patti LuPone;Driving Miss Daisy
Drew Barrymore;E.T. the Extra-Terrestrial
M.C. Gainey;Tangled
Kevin McDonald;Lilo & Stitch
Ritchie Singer;Crocodile Dundee
John Eldredge;Dangerous
Paul Bettany;Beautiful Mind, A
Miles Mander;Private Life of Henry VIII., The
Loretta Young;Kentucky
John Kassir;Pocahontas
Timothy Spall;Harry Potter and the Goblet of Fire
Peter Ustinov;Topkapi
Mildred Dunnock;BUtterfield 8
Olympia Dukakis;Moonstruck
Gene Hackman;Bonnie and Clyde
Charles Laughton;Spartacus
Hugh Jackman;X-Men: The Last Stand
Daniele Harford;The Constant Gardener
Tim Allen;Santa Clause, The
Raul Julia;Kiss of the Spider Woman
Eric Lloyd;Santa Clause 2, The
Adrien Brody;Pianist, The
John Travolta;Wild Hogs
Jacqueline Bisset;Murder on the Orient Express
Edmund Lowe;In Old Arizona
Anil Kapoor;Slumdog Millionaire
Jim Broadbent;The Iron Lady
Lou Romano;Ratatouille
Jennifer Hudson;Dreamgirls
Ralph Fiennes;The Hurt Locker
Gary Cooper;Sergeant York
William Hurt;Kiss of the Spider Woman
Robert Pattinson;The Twilight Saga: Breaking Dawn - Part 1
Laurence Harvey;Darling
Bill Goodwin;To Each His Own
Don Cheadle;Iron Man 2
Noah Taylor;Lara Croft: Tomb Raider
Victor McLaglen;Quiet Man, The
Humphrey Bogart;Barefoot Contessa, The
Isla Fisher;Wedding Crashers
Irene Rich;Champ, The
Kirk Douglas;Bad and the Beautiful, The
Alice da Cunha;The Iron Lady
Marlon Brando;Sayonara
Deborah Kerr;King and I, The
Anne Bancroft;Miracle Worker, The
Teresa Wright;Mrs. Miniver
Brian Cox;Rise of the Planet of the Apes
Julia Stiles;The Bourne Supremacy
Sally Field;Forrest Gump
David Schwimmer;Madagascar
Lionel Barrymore;You Cant Take It with You
Will Smith;I Am Legend
Dave Sheridan;Scary Movie
Josephine Hutchinson;Story of Louis Pasteur, The
Liam Neeson;Star Wars: Episode I - The Phantom Menace
Will Arnett;Despicable Me
Robert Shaw;Man for All Seasons, A
Burt Lancaster;Elmer Gantry
Hume Cronyn;Cocoon
Burl Ives;East of Eden
John Goodman;Monsters, Inc.
Fanny Brice;Great Ziegfeld, The
Karen Allen;Indiana Jones and the Kingdom of the Crystal Skull
Gene Hackman;French Connection, The
Ronny Cox;Beverly Hills Cop II
Adam Sandler;Anger Management
Raymond Massey;East of Eden
Susan Hayward;I Want to Live!
Queen Latifah;Bringing Down the House
Robert Morley;African Queen, The
Gary Cooper;High Noon
Edmund Gwenn;Anthony Adverse
Marie Dressler;Divine Lady, The
Tilda Swinton;Michael Clayton
Joe Pesci;Lethal Weapon 4
Mary Wickes;Sister Act
Rowan Atkinson;Scooby-Doo
Jennifer Garner;Juno
Leslie Caron;Gigi
Dame May Whitty;Gaslight
Pat Hingle;Norma Rae
Morgan Freeman;Deep Impact
Kevin James;Paul Blart: Mall Cop
Jennifer Connelly;Hulk
Denis Leary;Ice Age
Brawley Nolte;Ransom
Samuel L. Jackson;Star Wars: Episode II - Attack of the Clones
Sylvie Testud;Mome, La
Pierce Brosnan;Mamma Mia!
Demi Moore;Few Good Men, A
Kyle MacLachlan;Flintstones, The
Goran Visnjic;Ice Age
Brad Pitt;Inglourious Basterds
Michelle Rodriguez;Fast & Furious
Dudley Moore;Arthur
Alima Ashton-Sheibu;Matrix Reloaded, The
Hattie McDaniel;Gone with the Wind
Marlon Brando;Superman
Jim Carrey;Bruce Almighty
Ben Barnes;The Chronicles of Narnia: Prince Caspian
Miriam Hopkins;Heiress, The
Nicolas Cage;National Treasure
Kevin Spacey;A Bugs Life
Ed Harris;Apollo 13
Pascal Greggory;Mome, La
Josh Lucas;Hulk
Vincent Cassel;Shrek
Julianne Moore;Hours, The
George Clooney;Perfect Storm, The
Betty Lou Gerson;One Hundred and One Dalmatians
Patrick Stewart;X-Men
Hugo Weaving;Matrix, The
Klaus Maria Brandauer;Out of Africa
John Turturro;The Color of Money
Mike Myers;Austin Powers: The Spy Who Shagged Me
Paul Muni;Life of Emile Zola, The
Anthony Daniels;Star Wars: Episode VI - Return of the Jedi
Jacob Vargas;Traffic
Marcia Gay Harden;Pollock
Jason Robards;Melvin and Howard
Taylor Lautner;The Twilight Saga: Eclipse
Anthony Quinn;Lust for Life
Arnold Schwarzenegger;Terminator 3: Rise of the Machines
Kate Beckinsale;The Aviator
John C. Reilly;Chicago
Clint Eastwood;Unforgiven
Jerry OConnell;Jerry Maguire
Katharine Hepburn;African Queen, The
Kate Winslet;Iris
Vin Diesel;Fast Five
Amy Adams;Night at the Museum: Battle of the Smithsonian
Marton Csokas;XXX
Ethel Barrymore;None But the Lonely Heart
Joan Plowright;Bringing Down the House
Robert Patrick;Terminator 2: Judgment Day
John C. McGinley;Wall Street
Marjorie Rambeau;Min and Bill
Heath Ledger;Monsters Ball
Halle Berry;Die Another Day
Kelci Stephenson;Capote
James Coburn;Affliction
Gene Hackman;Firm, The
Verna Bloom;Animal House
Elizabeth Taylor;Giant
Zac Efron;The Lorax
Robert De Niro;Goodfellas
Rosemary Harris;Spider-Man 2
Sean Astin;Lord of the Rings: The Return of the King, The
Josh Peck;Ice Age: The Meltdown
Renee Zellweger;Shark Tale
Billy Bob Thornton;Monsters Ball
Ward Bond;Quiet Man, The
Anthony Hopkins;The Lion in Winter
Martin Balsam;Murder on the Orient Express
Cate Blanchett;Indiana Jones and the Kingdom of the Crystal Skull
Jason Robards;Julia
Irene Papas;Alexis Zorbas
James Rebhorn;Scent of a Woman
Lombardo Boyar;Happy Feet
Fredric March;Best Years of Our Lives, The
Michael Chiklis;Fantastic Four
Helen Hayes;Airport
Robert Littman;Rush Hour
Vincent Gardenia;Moonstruck
Karen Finley;Philadelphia
Cate Blanchett;Lord of the Rings: The Fellowship of the Ring, The
Myrna Loy;Great Ziegfeld, The
Hartley Power;Roman Holiday
Roscoe Ates;Champ, The
Taylor Swift;The Lorax
Everett Sloane;Lust for Life
Justin Chatwin;War of the Worlds
Estelle Parsons;Bonnie and Clyde
Eleanor Bron;Women in Love
Seth Rogen;Monsters vs Aliens
Nikki Reed;Twilight
Sylvia Miles;Midnight Cowboy
